"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Quantidade produzida (Toneladas)"
"Nível","Cód.","Brasil e Microrregião Geográfica","Ano x Produto das lavouras temporárias"
"Nível","Cód.","Brasil e Microrregião Geográfica","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Nível","Cód.","Brasil e Microrregião Geográfica","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)"
"MI","15012","Tomé-Açu (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3715","3982","4612","4969","3729","3258","3815","3857","3970","4921","2924","2366","2820","3005","5977","6697","10042","5920","8080","6640","6077","10035","13540","23062","22928","48624","41244","34981","60403","60350","72805","71826"
"MI","15013","Guamá (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16005","13413","15849","17120","17572","20698","21722","19577","21206","22092","23057","28384","29162","23789","22929","24045","24317","19889","19617","22774","41501","49066","28136","26336","11109","14215","9414","10735","15128","19411","28678","29017"
"MI","15014","Itaituba (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3614","7758","4570","12395","17098","28240","27202","17025","12051","12796","14612","12548","14082","16270","17366","17263","15982","16795","17586","19805","20083","20508","17010","17742","17959","15113","21303","23168","14893","29371","29120","29120"
"MI","15015","Altamira (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25770","32592","30011","41340","23360","22290","31080","27210","34760","42725","40761","39968","31300","32605","29261","29126","24188","25120","22593","18567","20908","19406","24453","19884","17403","14232","23022","28160","29210","67672","63342","62800"
"MI","15016","Tucuruí (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1930","2780","1885","3329","3089","4240","8650","8770","10234","12090","11245","11138","10295","17097","18676","18290","18519","18519","16879","17239","16495","21995","32710","33610","33660","33675","26114","22200","12173","8865","7218","9706"
"MI","15017","Paragominas (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9395","12845","13082","12452","9470","10145","13360","13985","27885","44391","80795","95802","81437","120633","180670","158540","174805","195430","208782","151528","165774","162147","230725","161938","152570","278196","199294","153038","182933","83800","90760","99116"
"MI","15018","São Félix do Xingu (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","32500","40375","39464","51600","71300","111100","102720","95739","153354","199631","149006","73231","34685","45203","35526","26432","24549","26468","49474","34508","58892","51042","50665","53106","62838","67963","70346","97396","57182","57880","110885","75786"
"MI","15019","Parauapebas (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4200","9500","5850","27450","12845","13936","14740","18910","17568","22986","24720","22092","18056","29210","27596","37984","43217","38761","24260","30089","17395","23323","24192","33475","41890","40890","48290","59607","61870","63100","61429","50512"
"MI","15020","Marabá (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3065","2810","2015","2370","6775","7375","8281","8236","8780","9250","10040","9680","13695","16922","14983","13013","13168","12515","13914","13500","13718","13562","15237","32647","28480","29740","23340","27331","27331","30984","31601","30647"
"MI","15021","Redenção (PA)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","38456","43560","38995","51450","51250","59250","91620","109840","107542","118222","53958","37064","38679","50498","35208","21378","25534","26337","45662","35358","30816","38867","39374","52942","57264","56862","49670","53876","55003","50815","50077","50319"
